year,sex,hindfoot_length,weight,genus,species,taxa,plot_type
2001,M,21.0,18.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1979,F,50.0,124.0,Dipodomys,spectabilis,Rodent,Spectab exclosure
1996,F,23.0,20.0,Chaetodipus,penicillatus,Rodent,Rodent Exclosure
1988,F,54.0,114.0,Dipodomys,spectabilis,Rodent,Control
1985,M,35.0,51.0,Dipodomys,ordii,Rodent,Short-term Krat Exclosure
1990,F,,42.0,Dipodomys,merriami,Rodent,Control
1997,F,21.0,22.0,Peromyscus,maniculatus,Rodent,Long-term Krat Exclosure
1990,M,37.0,47.0,Dipodomys,merriami,Rodent,Spectab exclosure
1984,F,35.0,39.0,Dipodomys,merriami,Rodent,Control
1985,M,33.0,51.0,Dipodomys,ordii,Rodent,Control
1996,F,20.0,20.0,Peromyscus,maniculatus,Rodent,Rodent Exclosure
1990,M,33.0,164.0,Neotoma,albigula,Rodent,Control
1986,M,21.0,39.0,Onychomys,leucogaster,Rodent,Spectab exclosure
1988,M,21.0,26.0,Peromyscus,maniculatus,Rodent,Long-term Krat Exclosure
1996,M,36.0,45.0,Dipodomys,ordii,Rodent,Control
1983,M,35.0,38.0,Dipodomys,merriami,Rodent,Control
1988,F,22.0,24.0,Peromyscus,eremicus,Rodent,Rodent Exclosure
1985,F,20.0,34.0,Onychomys,leucogaster,Rodent,Rodent Exclosure
1998,M,35.0,36.0,Dipodomys,merriami,Rodent,Control
1979,F,48.0,128.0,Dipodomys,spectabilis,Rodent,Control
1981,M,23.0,39.0,Onychomys,leucogaster,Rodent,Control
1994,M,36.0,44.0,Dipodomys,merriami,Rodent,Control
2002,M,27.0,47.0,Chaetodipus,baileyi,Rodent,Control
1979,M,49.0,124.0,Dipodomys,spectabilis,Rodent,Control
1987,F,52.0,156.0,Dipodomys,spectabilis,Rodent,Spectab exclosure
1989,M,21.0,26.0,Onychomys,torridus,Rodent,Rodent Exclosure
1983,F,35.0,34.0,Dipodomys,merriami,Rodent,Control
1996,M,17.0,12.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1979,F,20.0,29.0,Onychomys,torridus,Rodent,Control
2002,F,27.0,36.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1997,M,22.0,20.0,Chaetodipus,penicillatus,Rodent,Control
1980,F,,26.0,Onychomys,torridus,Rodent,Rodent Exclosure
2002,F,36.0,50.0,Dipodomys,merriami,Rodent,Control
1995,F,21.0,20.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1986,F,32.0,135.0,Neotoma,albigula,Rodent,Control
1985,F,36.0,43.0,Dipodomys,merriami,Rodent,Control
1982,not reported,,,Amphispiza,bilineata,Bird,Short-term Krat Exclosure
1997,F,21.0,21.0,Peromyscus,maniculatus,Rodent,Long-term Krat Exclosure
1998,F,22.0,19.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
1996,F,22.0,16.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1990,M,16.0,9.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure
1999,M,49.0,102.0,Dipodomys,spectabilis,Rodent,Control
1990,F,35.0,41.0,Dipodomys,merriami,Rodent,Control
1979,F,20.0,23.0,Onychomys,torridus,Rodent,Rodent Exclosure
1984,F,31.0,151.0,Neotoma,albigula,Rodent,Control
1996,M,15.0,9.0,Perognathus,flavus,Rodent,Short-term Krat Exclosure
1987,M,34.0,50.0,Dipodomys,ordii,Rodent,Control
1986,not reported,,,Spermophilus,spilosoma,Rodent,Rodent Exclosure
2001,F,36.0,44.0,Dipodomys,merriami,Rodent,Control
1989,M,21.0,20.0,Peromyscus,eremicus,Rodent,Long-term Krat Exclosure
1997,F,35.0,45.0,Dipodomys,merriami,Rodent,Control
1982,M,21.0,27.0,Onychomys,torridus,Rodent,Control
1997,M,36.0,51.0,Dipodomys,merriami,Rodent,Control
1998,F,20.0,19.0,Chaetodipus,penicillatus,Rodent,Rodent Exclosure
1997,M,22.0,18.0,Chaetodipus,penicillatus,Rodent,Rodent Exclosure
1987,not reported,,,Rodent,sp.,Rodent,Control
1987,F,32.0,118.0,Neotoma,albigula,Rodent,Spectab exclosure
1979,M,37.0,53.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1998,F,35.0,49.0,Dipodomys,merriami,Rodent,Control
1989,F,23.0,19.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
1984,F,35.0,53.0,Dipodomys,ordii,Rodent,Control
1988,F,36.0,47.0,Dipodomys,merriami,Rodent,Control
1980,F,,126.0,Dipodomys,spectabilis,Rodent,Rodent Exclosure
1992,F,35.0,60.0,Dipodomys,merriami,Rodent,Control
2001,M,26.0,32.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1990,not reported,,,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
1989,M,15.0,9.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1988,F,27.0,67.0,Sigmodon,hispidus,Rodent,Long-term Krat Exclosure
1993,M,34.0,39.0,Dipodomys,merriami,Rodent,Control
2001,M,37.0,51.0,Dipodomys,merriami,Rodent,Spectab exclosure
1987,M,,46.0,Dipodomys,merriami,Rodent,Spectab exclosure
2001,M,24.0,19.0,Chaetodipus,penicillatus,Rodent,Control
1997,M,30.0,40.0,Chaetodipus,baileyi,Rodent,Rodent Exclosure
1978,F,47.0,107.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1982,F,53.0,116.0,Dipodomys,spectabilis,Rodent,Control
1989,M,21.0,22.0,Onychomys,torridus,Rodent,Long-term Krat Exclosure
1999,F,21.0,15.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1978,F,21.0,,Peromyscus,eremicus,Rodent,Short-term Krat Exclosure
2000,F,35.0,54.0,Dipodomys,ordii,Rodent,Control
1981,M,,,Dipodomys,ordii,Rodent,Control
1995,not reported,,,Ammospermophilus,harrisi,Rodent,Long-term Krat Exclosure
1998,M,20.0,21.0,Onychomys,torridus,Rodent,Long-term Krat Exclosure
2001,M,22.0,20.0,Chaetodipus,penicillatus,Rodent,Spectab exclosure
1996,F,35.0,35.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1984,M,20.0,43.0,Onychomys,leucogaster,Rodent,Long-term Krat Exclosure
1987,M,22.0,32.0,Onychomys,leucogaster,Rodent,Control
2002,F,25.0,27.0,Chaetodipus,baileyi,Rodent,Control
1985,F,30.0,150.0,Neotoma,albigula,Rodent,Long-term Krat Exclosure
1997,M,22.0,19.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
1978,F,,74.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1987,M,36.0,47.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1997,F,35.0,42.0,Dipodomys,merriami,Rodent,Control
1986,F,21.0,20.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
1998,M,36.0,56.0,Dipodomys,merriami,Rodent,Control
2002,M,26.0,42.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1997,M,16.0,12.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure
1987,F,20.0,25.0,Peromyscus,eremicus,Rodent,Long-term Krat Exclosure
1988,M,16.0,10.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1982,not reported,,,Spermophilus,spilosoma,Rodent,Control
1989,F,17.0,12.0,Reithrodontomys,megalotis,Rodent,Control
1990,F,,49.0,Dipodomys,ordii,Rodent,Control
1992,M,36.0,60.0,Dipodomys,ordii,Rodent,Control
2001,F,22.0,20.0,Onychomys,torridus,Rodent,Control
2001,M,27.0,26.0,Chaetodipus,baileyi,Rodent,Control
1990,M,16.0,11.0,Reithrodontomys,megalotis,Rodent,Control
1997,M,18.0,12.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure
1987,M,37.0,46.0,Dipodomys,ordii,Rodent,Spectab exclosure
1991,M,36.0,51.0,Dipodomys,merriami,Rodent,Control
1985,not reported,,,Spermophilus,spilosoma,Rodent,Control
1996,M,23.0,12.0,Chaetodipus,penicillatus,Rodent,Control
1990,M,17.0,9.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
2002,F,25.0,25.0,Chaetodipus,baileyi,Rodent,Spectab exclosure
1997,M,20.0,19.0,Peromyscus,maniculatus,Rodent,Rodent Exclosure
2002,F,35.0,48.0,Dipodomys,merriami,Rodent,Control
1995,M,39.0,48.0,Dipodomys,merriami,Rodent,Control
1997,M,16.0,8.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1992,M,21.0,35.0,Onychomys,leucogaster,Rodent,Control
1998,F,20.0,11.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
1992,not reported,,,Pipilo,chlorurus,Bird,Spectab exclosure
1995,M,15.0,7.0,Perognathus,flavus,Rodent,Short-term Krat Exclosure
1987,M,36.0,46.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1997,M,20.0,18.0,Peromyscus,maniculatus,Rodent,Control
1982,M,21.0,39.0,Onychomys,leucogaster,Rodent,Control
1992,M,37.0,49.0,Dipodomys,merriami,Rodent,Control
2001,F,25.0,28.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1998,M,37.0,40.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
2002,M,26.0,38.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1984,F,36.0,56.0,Dipodomys,ordii,Rodent,Spectab exclosure
1996,M,35.0,41.0,Dipodomys,ordii,Rodent,Short-term Krat Exclosure
1989,M,17.0,10.0,Reithrodontomys,megalotis,Rodent,Control
1997,F,34.0,36.0,Dipodomys,merriami,Rodent,Control
1994,M,37.0,40.0,Dipodomys,merriami,Rodent,Control
2001,M,37.0,53.0,Dipodomys,merriami,Rodent,Control
2002,F,22.0,15.0,Chaetodipus,penicillatus,Rodent,Control
1998,F,26.0,34.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1999,M,37.0,52.0,Dipodomys,merriami,Rodent,Spectab exclosure
1996,M,39.0,44.0,Dipodomys,merriami,Rodent,Control
1980,M,36.0,49.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
2000,F,23.0,16.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
1983,M,37.0,46.0,Dipodomys,merriami,Rodent,Rodent Exclosure
2001,F,26.0,39.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1996,F,38.0,55.0,Dipodomys,ordii,Rodent,Control
1982,M,48.0,82.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1982,M,17.0,11.0,Onychomys,leucogaster,Rodent,Control
1982,F,16.0,8.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1980,F,14.0,8.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure
1997,F,33.0,47.0,Dipodomys,ordii,Rodent,Spectab exclosure
2001,M,23.0,20.0,Chaetodipus,penicillatus,Rodent,Control
1982,F,36.0,43.0,Dipodomys,ordii,Rodent,Control
2002,M,35.0,41.0,Dipodomys,merriami,Rodent,Control
1980,F,,43.0,Dipodomys,merriami,Rodent,Control
1998,F,35.0,40.0,Dipodomys,merriami,Rodent,Control
1980,M,36.0,40.0,Dipodomys,merriami,Rodent,Control
1985,F,37.0,42.0,Dipodomys,merriami,Rodent,Control
1979,M,18.0,20.0,Onychomys,torridus,Rodent,Control
2000,F,20.0,31.0,Onychomys,torridus,Rodent,Control
1985,M,19.0,19.0,Peromyscus,eremicus,Rodent,Rodent Exclosure
1990,M,21.0,21.0,Peromyscus,eremicus,Rodent,Rodent Exclosure
2001,M,36.0,44.0,Dipodomys,merriami,Rodent,Control
1999,F,22.0,18.0,Chaetodipus,penicillatus,Rodent,Control
1980,F,,46.0,Dipodomys,merriami,Rodent,Control
1996,M,20.0,20.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure
1983,M,17.0,7.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1982,M,36.0,45.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1991,not reported,,,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure
2002,M,23.0,20.0,Chaetodipus,penicillatus,Rodent,Control
1989,F,35.0,24.0,Dipodomys,merriami,Rodent,Control
1985,M,37.0,50.0,Dipodomys,merriami,Rodent,Control
2002,F,26.0,26.0,Chaetodipus,baileyi,Rodent,Control
1998,F,,22.0,Onychomys,torridus,Rodent,Control
1985,M,16.0,6.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1982,M,49.0,90.0,Dipodomys,spectabilis,Rodent,Control
1998,F,36.0,45.0,Dipodomys,merriami,Rodent,Control
1999,F,22.0,17.0,Chaetodipus,penicillatus,Rodent,Spectab exclosure
1983,not reported,,,Dipodomys,spectabilis,Rodent,Rodent Exclosure
1991,M,24.0,32.0,Onychomys,leucogaster,Rodent,Control
1980,M,14.0,6.0,Perognathus,flavus,Rodent,Short-term Krat Exclosure
1996,M,16.0,8.0,Perognathus,flavus,Rodent,Rodent Exclosure
2000,F,25.0,42.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1982,M,36.0,46.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1988,M,35.0,50.0,Dipodomys,ordii,Rodent,Spectab exclosure
1998,M,20.0,23.0,Onychomys,torridus,Rodent,Control
1999,F,37.0,41.0,Dipodomys,merriami,Rodent,Spectab exclosure
1988,M,37.0,60.0,Dipodomys,merriami,Rodent,Control
1985,F,34.0,33.0,Dipodomys,merriami,Rodent,Spectab exclosure
1988,not reported,,,Amphispiza,bilineata,Bird,Rodent Exclosure
1991,M,37.0,44.0,Dipodomys,merriami,Rodent,Control
1985,M,37.0,42.0,Dipodomys,merriami,Rodent,Control
1989,F,35.0,25.0,Dipodomys,merriami,Rodent,Control
2002,M,26.0,30.0,Chaetodipus,baileyi,Rodent,Control
1987,F,31.0,170.0,Neotoma,albigula,Rodent,Spectab exclosure
1997,F,36.0,35.0,Dipodomys,merriami,Rodent,Control
1987,not reported,,,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
2002,M,33.0,32.0,Dipodomys,merriami,Rodent,Control
1981,F,35.0,52.0,Dipodomys,ordii,Rodent,Control
1983,M,16.0,11.0,Reithrodontomys,megalotis,Rodent,Control
2000,M,37.0,42.0,Dipodomys,merriami,Rodent,Control
1998,F,37.0,43.0,Dipodomys,merriami,Rodent,Control
1990,M,17.0,10.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure
1991,M,16.0,12.0,Reithrodontomys,megalotis,Rodent,Spectab exclosure
1986,F,17.0,12.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1984,F,17.0,15.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure
1997,M,37.0,48.0,Dipodomys,merriami,Rodent,Control
1990,not reported,,,Pipilo,chlorurus,Bird,Short-term Krat Exclosure
2002,M,27.0,42.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1987,M,36.0,48.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1983,F,36.0,37.0,Dipodomys,merriami,Rodent,Spectab exclosure
1979,M,31.0,153.0,Neotoma,albigula,Rodent,Control
1984,not reported,,,Amphispiza,bilineata,Bird,Spectab exclosure
1986,F,37.0,22.0,Dipodomys,merriami,Rodent,Spectab exclosure
1984,M,16.0,17.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1977,M,36.0,42.0,Dipodomys,merriami,Rodent,Spectab exclosure
1990,F,17.0,13.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure
1994,F,36.0,36.0,Dipodomys,merriami,Rodent,Control
1983,M,36.0,47.0,Dipodomys,ordii,Rodent,Control
1997,F,22.0,20.0,Chaetodipus,penicillatus,Rodent,Spectab exclosure
1985,M,36.0,47.0,Dipodomys,merriami,Rodent,Control
1978,F,50.0,114.0,Dipodomys,spectabilis,Rodent,Rodent Exclosure
1982,M,49.0,84.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1985,M,38.0,51.0,Dipodomys,merriami,Rodent,Control
2002,F,23.0,20.0,Chaetodipus,penicillatus,Rodent,Control
2001,M,23.0,17.0,Chaetodipus,penicillatus,Rodent,Control
1984,F,21.0,13.0,Chaetodipus,penicillatus,Rodent,Spectab exclosure
1995,not reported,,,Ammospermophilus,harrisi,Rodent,Long-term Krat Exclosure
1997,F,15.0,7.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1989,M,17.0,10.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1985,M,37.0,37.0,Dipodomys,merriami,Rodent,Control
1979,M,50.0,141.0,Dipodomys,spectabilis,Rodent,Spectab exclosure
1997,M,16.0,11.0,Reithrodontomys,megalotis,Rodent,Control
1978,F,21.0,14.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1999,M,39.0,45.0,Dipodomys,merriami,Rodent,Spectab exclosure
2000,M,26.0,31.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1994,F,,7.0,Perognathus,flavus,Rodent,Short-term Krat Exclosure
2000,M,17.0,11.0,Peromyscus,maniculatus,Rodent,Rodent Exclosure
1998,not reported,,,Dipodomys,sp.,Rodent,Control
1997,M,35.0,48.0,Dipodomys,ordii,Rodent,Control
1996,M,16.0,7.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1984,F,37.0,42.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1991,F,34.0,188.0,Neotoma,albigula,Rodent,Short-term Krat Exclosure
1981,M,,45.0,Dipodomys,merriami,Rodent,Control
1992,M,17.0,24.0,Onychomys,torridus,Rodent,Long-term Krat Exclosure
2002,F,26.0,33.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1997,M,36.0,48.0,Dipodomys,merriami,Rodent,Control
1997,F,21.0,16.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1987,F,,42.0,Dipodomys,merriami,Rodent,Control
1986,M,36.0,43.0,Dipodomys,merriami,Rodent,Rodent Exclosure
2001,M,36.0,50.0,Dipodomys,merriami,Rodent,Spectab exclosure
1981,M,51.0,151.0,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
1982,M,37.0,53.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1987,M,36.0,53.0,Dipodomys,merriami,Rodent,Control
1986,M,35.0,58.0,Dipodomys,ordii,Rodent,Rodent Exclosure
1994,F,36.0,24.0,Dipodomys,merriami,Rodent,Control
1997,F,21.0,23.0,Peromyscus,maniculatus,Rodent,Short-term Krat Exclosure
1979,M,21.0,21.0,Onychomys,torridus,Rodent,Long-term Krat Exclosure
1987,M,,11.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1999,F,20.0,18.0,Peromyscus,maniculatus,Rodent,Short-term Krat Exclosure
1979,M,36.0,48.0,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
1988,not reported,,,Ammospermophilus,harrisi,Rodent,Control
1977,M,35.0,34.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1992,M,36.0,55.0,Dipodomys,ordii,Rodent,Rodent Exclosure
2000,M,36.0,63.0,Dipodomys,ordii,Rodent,Control
1981,M,,89.0,Dipodomys,spectabilis,Rodent,Spectab exclosure
1980,M,,48.0,Dipodomys,merriami,Rodent,Rodent Exclosure
2002,M,36.0,56.0,Dipodomys,ordii,Rodent,Long-term Krat Exclosure
1990,F,21.0,23.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure
1980,F,,43.0,Dipodomys,merriami,Rodent,Control
1996,M,21.0,20.0,Peromyscus,eremicus,Rodent,Rodent Exclosure
1987,M,29.0,53.0,Neotoma,albigula,Rodent,Control
1980,M,46.0,79.0,Dipodomys,spectabilis,Rodent,Control
2001,F,27.0,27.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1998,M,20.0,14.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1987,M,21.0,16.0,Chaetodipus,penicillatus,Rodent,Control
2001,M,27.0,43.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1994,M,36.0,48.0,Dipodomys,merriami,Rodent,Spectab exclosure
1998,F,36.0,34.0,Dipodomys,merriami,Rodent,Control
2002,F,26.0,25.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1982,M,,9.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure
1982,M,51.0,101.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1990,F,15.0,11.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure
1980,F,,135.0,Dipodomys,spectabilis,Rodent,Control
1997,M,20.0,22.0,Onychomys,torridus,Rodent,Long-term Krat Exclosure
1988,F,21.0,29.0,Peromyscus,eremicus,Rodent,Control
1987,M,,45.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1989,M,20.0,35.0,Onychomys,torridus,Rodent,Long-term Krat Exclosure
1996,M,37.0,52.0,Dipodomys,merriami,Rodent,Control
1997,M,20.0,28.0,Onychomys,torridus,Rodent,Control
1990,F,16.0,7.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1997,F,20.0,21.0,Chaetodipus,penicillatus,Rodent,Spectab exclosure
1998,F,25.0,33.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
2002,F,27.0,32.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
2002,F,27.0,35.0,Chaetodipus,baileyi,Rodent,Control
1997,F,26.0,25.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1988,M,22.0,21.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure
1987,F,15.0,13.0,Reithrodontomys,megalotis,Rodent,Spectab exclosure
1988,M,38.0,39.0,Dipodomys,merriami,Rodent,Control
1981,M,37.0,47.0,Dipodomys,merriami,Rodent,Spectab exclosure
1982,F,37.0,38.0,Dipodomys,merriami,Rodent,Control
1982,F,35.0,59.0,Dipodomys,ordii,Rodent,Spectab exclosure
1997,F,22.0,22.0,Peromyscus,maniculatus,Rodent,Rodent Exclosure
1984,M,35.0,33.0,Dipodomys,merriami,Rodent,Control
1991,F,16.0,10.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1980,F,,55.0,Dipodomys,ordii,Rodent,Short-term Krat Exclosure
1999,F,26.0,33.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
2000,F,35.0,43.0,Dipodomys,merriami,Rodent,Control
1995,F,20.0,17.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1997,F,15.0,7.0,Perognathus,flavus,Rodent,Control
1978,F,,117.0,Dipodomys,spectabilis,Rodent,Control
2002,F,32.0,45.0,Dipodomys,ordii,Rodent,Control
1999,M,35.0,53.0,Dipodomys,merriami,Rodent,Spectab exclosure
1986,M,53.0,157.0,Dipodomys,spectabilis,Rodent,Spectab exclosure
1982,M,,181.0,Neotoma,albigula,Rodent,Short-term Krat Exclosure
1989,F,21.0,27.0,Onychomys,leucogaster,Rodent,Control
1999,F,38.0,55.0,Dipodomys,ordii,Rodent,Spectab exclosure
1987,M,20.0,23.0,Peromyscus,eremicus,Rodent,Long-term Krat Exclosure
1997,M,17.0,10.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1982,F,32.0,165.0,Neotoma,albigula,Rodent,Control
1986,M,22.0,17.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1991,F,16.0,17.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1981,M,50.0,132.0,Dipodomys,spectabilis,Rodent,Control
1980,M,,38.0,Onychomys,leucogaster,Rodent,Short-term Krat Exclosure
1987,F,49.0,178.0,Dipodomys,spectabilis,Rodent,Spectab exclosure
1994,M,35.0,50.0,Dipodomys,merriami,Rodent,Control
1978,not reported,,,Ammospermophilus,harrisi,Rodent,Long-term Krat Exclosure
1989,F,48.0,115.0,Dipodomys,spectabilis,Rodent,Control
2002,F,27.0,31.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1997,F,36.0,38.0,Dipodomys,merriami,Rodent,Spectab exclosure
1982,M,15.0,11.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure
1988,F,34.0,190.0,Neotoma,albigula,Rodent,Short-term Krat Exclosure
1995,M,20.0,23.0,Peromyscus,eremicus,Rodent,Spectab exclosure
1992,F,35.0,46.0,Dipodomys,ordii,Rodent,Control
2000,F,25.0,30.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1985,M,16.0,4.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1990,F,16.0,9.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
2000,M,20.0,22.0,Onychomys,torridus,Rodent,Spectab exclosure
1985,F,38.0,53.0,Dipodomys,merriami,Rodent,Control
1998,F,23.0,20.0,Chaetodipus,penicillatus,Rodent,Rodent Exclosure
1978,F,20.0,35.0,Onychomys,leucogaster,Rodent,Control
1996,M,23.0,28.0,Onychomys,leucogaster,Rodent,Spectab exclosure
2002,F,26.0,31.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1983,M,37.0,42.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1981,M,37.0,32.0,Dipodomys,merriami,Rodent,Rodent Exclosure
2001,F,20.0,20.0,Peromyscus,eremicus,Rodent,Control
1981,F,38.0,44.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1987,F,37.0,41.0,Dipodomys,merriami,Rodent,Control
1982,M,34.0,42.0,Dipodomys,merriami,Rodent,Control
2001,M,24.0,28.0,Sigmodon,hispidus,Rodent,Short-term Krat Exclosure
1988,F,36.0,,Dipodomys,ordii,Rodent,Control
2000,M,25.0,31.0,Chaetodipus,baileyi,Rodent,Control
1987,F,24.0,19.0,Chaetodipus,penicillatus,Rodent,Control
1988,M,38.0,44.0,Dipodomys,merriami,Rodent,Spectab exclosure
1983,M,15.0,5.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1988,F,36.0,35.0,Dipodomys,merriami,Rodent,Control
1983,M,51.0,150.0,Dipodomys,spectabilis,Rodent,Spectab exclosure
1978,F,19.0,28.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure
1995,M,37.0,53.0,Dipodomys,merriami,Rodent,Control
1987,F,,21.0,Peromyscus,eremicus,Rodent,Rodent Exclosure
1985,M,22.0,19.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1977,F,35.0,,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
1983,F,16.0,6.0,Perognathus,flavus,Rodent,Control
1998,M,20.0,25.0,Onychomys,torridus,Rodent,Spectab exclosure
1980,M,51.0,91.0,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
1998,F,21.0,13.0,Chaetodipus,penicillatus,Rodent,Spectab exclosure
1981,M,36.0,38.0,Dipodomys,ordii,Rodent,Rodent Exclosure
2000,M,21.0,21.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
1991,F,37.0,65.0,Dipodomys,merriami,Rodent,Control
2001,M,,92.0,Sigmodon,hispidus,Rodent,Control
1998,M,17.0,26.0,Onychomys,torridus,Rodent,Control
1999,F,25.0,20.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1989,M,37.0,46.0,Dipodomys,merriami,Rodent,Spectab exclosure
1990,M,36.0,44.0,Dipodomys,merriami,Rodent,Control
1990,M,18.0,14.0,Onychomys,torridus,Rodent,Control
1997,F,26.0,34.0,Chaetodipus,baileyi,Rodent,Rodent Exclosure
1987,M,37.0,45.0,Dipodomys,merriami,Rodent,Control
